ReferenceId,spotsPerHour,dwellTime,loopLength,spotDuration,lat,lon
JPN-JEK-D-00000-00029,10,10,360,15,35.733539,139.739261
JPN-JEK-D-00000-00030,10,10,360,15,35.691599,139.701027
JPN-JEK-D-00000-00031,10,10,360,15,35.689607,139.700571
JPN-JEK-D-00000-00032,10,10,360,15,35.688715,139.700862
JPN-JEK-D-00000-00034,10,10,360,15,35.626069,139.723606
JPN-JEK-D-00000-00035,10,10,360,15,35.628471,139.73876
JPN-JEK-D-00000-00039,10,10,360,15,35.674765,139.763051
JPN-JEK-D-00000-00040,10,10,360,15,35.681846,139.765255
JPN-JEK-D-00000-00041,10,10,360,15,35.679865,139.767138
JPN-JEK-D-00000-00042,10,10,360,15,35.698444,139.772554
JPN-JEK-D-00000-00044,10,10,360,15,35.70313,139.579715
JPN-JEK-D-00000-00045,10,10,360,15,35.858742,139.657363
JPN-JEK-D-00000-00046,10,10,360,15,35.90631,139.624388
JPN-JEK-D-00000-00047,10,10,360,15,35.465922,139.622387
JPN-JEK-D-00000-00048,10,10,360,15,35.466113,139.621917
JPN-JEK-D-00000-00049,10,10,360,15,35.713467,139.704479
JPN-JEK-D-00000-00050,10,10,360,15,35.730165,139.711038
JPN-JEK-D-00000-00051,10,10,360,15,35.450761,139.631186
JPN-JEK-D-00000-00052,10,10,360,15,35.465378,139.622424
JPN-JEK-D-00000-00058,10,10,360,15,35.680891,139.766823
JPN-JEK-D-00000-00059,10,10,360,15,35.681784,139.767173
JPN-JEK-D-00000-00060,10,10,360,15,35.647169,139.709802
JPN-JEK-D-00000-00061,10,10,360,15,35.777961,139.720772
JPN-JEK-D-00000-00960,10,10,360,15,35.65569679,139.3389591
JPN-JEK-D-00000-00961,10,10,360,15,35.7141,139.777409
JPN-JEK-D-00000-04333,10,10,360,15,35.66637772,139.7583399
JPN-JEK-D-00000-04334,10,10,360,15,35.66637772,139.7583399
JPN-JEK-D-00000-00036,10,10,360,15,35.635891,139.740946
